site_name,unique_journalist_count,muckrack_url,website_url,popularity,reach_rank,rank_delta,country_rank
UPI,13,https://muckrack.com/media-outlet/upi,http://upi.com,15925,17505,-6921,2990
UnionLeader.com,12,https://muckrack.com/media-outlet/nhunionleader,http://unionleader.com,107444,92506,22695,28333
Vanity Fair,11,https://muckrack.com/media-outlet/vf,http://vanityfair.com/,6361,4431,897,1669
Variety,41,https://muckrack.com/media-outlet/variety,http://variety.com/,2307,1856,8,642
Vogue,14,https://muckrack.com/media-outlet/vogue,http://vogue.com/,3313,3401,-168,1558
Vulture,9,https://muckrack.com/media-outlet/vulture,http://vulture.com,4141,2877,684,1292
WJXT,27,https://muckrack.com/media-outlet/news4jax,http://news4jax.com,26940,24855,-7851,5023
WND,7,https://muckrack.com/media-outlet/wnd,http://wnd.com,5733,4720,-1288,1053
WPLG,13,https://muckrack.com/media-outlet/wplglocal10,http://local10.com/,17031,12745,-11958,3863
WSJ,16,https://muckrack.com/media-outlet/wsj,http://wsj.com/,363,288,-79,126
WWD,33,https://muckrack.com/media-outlet/wwd,http://wwd.com/,8863,7852,1308,2968
WalesOnline,142,https://muckrack.com/media-outlet/walesonlineco-South,http://walesonline.co.uk/,14433,11692,-10029,276
Wired,2,https://muckrack.com/media-outlet/wired,http://wired.com,1283,959,59,459
YourStory.com,19,https://muckrack.com/media-outlet/yourstory,http://yourstory.com,5595,4992,-2064,420
ZDNet,22,https://muckrack.com/media-outlet/zdnet,http://zdnet.com,3055,2421,140,1859
baltimoresun.com,111,https://muckrack.com/media-outlet/baltimoresun,http://baltimoresun.com/,16980,12690,2742,3815
baltimoresun.com/maryland/carroll,5,https://muckrack.com/media-outlet/carrollcountytimes,https://www.baltimoresun.com/maryland/carroll/,16980,12690,2742,3815
chicagotribune.com,172,https://muckrack.com/media-outlet/chicagotrib,http://chicagotribune.com/,1873,1533,-215,434
courant.com,86,https://muckrack.com/media-outlet/hartfordcourant,http://courant.com/,34348,27279,10202,9626
dailypress.com,98,https://muckrack.com/media-outlet/dailypress,http://dailypress.com/,96674,79251,-4894,15604
dailypress.com/virginiagazette,3,https://muckrack.com/media-outlet/vagazette,https://www.dailypress.com/virginiagazette/,96674,79251,-4894,15604
https://auto.hindustantimes.com,2,https://muckrack.com/media-outlet/htimes,http://hindustantimes.com/,687,549,-121,79
https://www.hawaiinewsnow.com,21,https://muckrack.com/media-outlet/hawaiinewsnow,http://hawaiinewsnow.com,37675,31305,-3740,8642
https://www.inquirer.com,33,https://muckrack.com/media-outlet/philadelphiainquirer,https://inquirer.com/,13410,9802,3602,2716
https://www.livemint.com,5,https://muckrack.com/media-outlet/livemint,http://livemint.com/,1232,992,-352,99
madison.com,39,https://muckrack.com/media-outlet/host-madison,http://host.madison.com,40574,37329,-1243,10188
mcall.com,85,https://muckrack.com/media-outlet/mcall,http://mcall.com,55864,43210,-7641,11749
mint,47,https://muckrack.com/media-outlet/livemint,http://livemint.com/,1232,992,-352,99
mirror,294,https://muckrack.com/media-outlet/mirrorreview,http://mirrorreview.com,55340,63033,6765,7355
mySA,114,https://muckrack.com/media-outlet/hchronicle,http://chron.com/,592,454,49,299
nwitimes.com,17,https://muckrack.com/media-outlet/nwitimes,http://nwitimes.com,96531,93799,11766,22782
nydailynews.com,68,https://muckrack.com/media-outlet/nydn,http://nydailynews.com/,1809,1555,-327,435
orlandosentinel.com,124,https://muckrack.com/media-outlet/orlandosentinel,http://orlandosentinel.com/,20143,14817,1350,3796
seattlepi.com,95,https://muckrack.com/media-outlet/seattlepi,http://seattlepi.com,39636,33695,2834,8415
sun-sentinel.com,98,https://muckrack.com/media-outlet/sunsentinel,http://sun-sentinel.com/,13663,9720,2438,2664
the Guardian,74,https://muckrack.com/media-outlet/guardian,http://theguardian.com/,165,150,-14,127
